City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olafsvik,64.8945,-23.7142,-0.15,73,96,7.94,IS,1675987048
1,bluff,-46.6,168.3333,16.0,61,66,5.11,NZ,1675987049
2,portland,45.5234,-122.6762,15.6,48,20,7.72,US,1675986316
3,rikitea,-23.1203,-134.9692,26.82,71,26,8.76,PF,1675986459
4,hermanus,-34.4187,19.2345,22.11,81,27,6.5,ZA,1675986519
5,roald,62.5833,6.1333,4.31,75,20,12.86,NO,1675986528
6,necochea,-38.5473,-58.7368,18.88,90,0,4.7,AR,1675986472
7,pevek,69.7008,170.3133,-30.35,97,100,1.82,RU,1675986522
8,cape town,-33.9258,18.4232,21.88,71,0,6.69,ZA,1675986900
9,arraial do cabo,-22.9661,-42.0278,24.98,83,0,2.06,BR,1675986476
10,ust-maya,60.4167,134.5333,-45.75,100,76,0.59,RU,1675987050
11,sabirabad,40.0095,48.4752,0.5,77,95,1.12,AZ,1675987052
12,tadine,-21.55,167.8833,26.92,83,100,6.38,NC,1675987053
13,chuy,-33.6971,-53.4616,21.15,89,0,2.47,UY,1675986527
14,nikolskoye,59.7035,30.7861,-2.06,86,100,5.37,RU,1675986480
15,punta arenas,-53.15,-70.9167,11.06,82,100,4.63,CL,1675987054
16,fenoarivo atsinanana,-17.3667,49.4167,23.11,91,75,2.23,MG,1675987055
17,onguday,50.75,86.15,-8.21,96,100,0.24,RU,1675987055
18,culleredo,43.2879,-8.3886,7.91,82,0,1.54,ES,1675987056
19,khatanga,71.9667,102.5,-44.62,99,42,1.64,RU,1675986460
20,mahebourg,-20.4081,57.7,26.16,78,75,3.6,MU,1675987057
21,rockhampton,-23.3833,150.5,28.94,51,9,4.12,AU,1675987056
22,ushuaia,-54.8,-68.3,13.81,44,40,4.12,AR,1675986804
23,jizan,17.3333,42.6667,25.52,76,15,1.9,SA,1675987058
24,luwuk,-0.9516,122.7875,26.28,82,100,1.75,ID,1675987058
25,nome,64.5011,-165.4064,-17.96,71,100,0.0,US,1675986566
26,aksu,41.1231,80.2644,-2.65,68,98,1.54,CN,1675986477
27,dunedin,-45.8742,170.5036,14.23,57,77,3.14,NZ,1675987059
28,mataura,-46.1927,168.8643,15.82,37,62,1.75,NZ,1675987059
29,puerto ayora,-0.7393,-90.3518,26.42,93,59,3.58,EC,1675987059
30,inta,66.0317,60.1659,-3.05,89,100,10.11,RU,1675987060
31,bengkulu,-3.8004,102.2655,23.43,90,93,2.25,ID,1675987060
32,esperance,-33.8667,121.9,18.67,70,4,3.03,AU,1675987061
33,dubti,11.7361,41.0853,25.77,59,5,1.93,ET,1675987061
34,gryazi,52.4966,39.9359,-6.09,97,100,2.5,RU,1675987062
35,kapaa,22.0752,-159.319,23.44,87,75,10.8,US,1675987062
36,thompson,55.7435,-97.8558,-17.91,78,0,0.0,CA,1675986487
37,castro,-24.7911,-50.0119,20.28,79,35,2.81,BR,1675986480
38,hobart,-42.8794,147.3294,17.92,92,75,2.06,AU,1675987063
39,avarua,-21.2078,-159.775,27.03,83,100,2.06,CK,1675987063
40,yayva,59.3303,57.2641,-4.35,95,99,2.69,RU,1675987063
41,kloulklubed,7.0419,134.2556,24.28,76,87,6.7,PW,1675987064
42,dalbandin,28.8947,64.4101,11.58,37,60,3.39,PK,1675986289
43,semporna,4.4818,118.6112,26.08,84,77,4.57,MY,1675987064
44,port hedland,-20.3167,118.5667,31.03,70,40,6.69,AU,1675987065
45,bethel,41.3712,-73.414,8.9,81,100,4.63,US,1675986310
46,monchegorsk,67.9397,32.8739,-1.27,90,79,5.81,RU,1675987065
47,nanortalik,60.1432,-45.2371,-1.98,96,100,3.19,GL,1675986479
48,colima,19.1667,-104.0,27.78,52,8,2.19,MX,1675986907
49,tilichiki,60.4667,166.1,-22.99,85,100,6.2,RU,1675987066
50,itarema,-2.9248,-39.9167,26.92,80,95,4.44,BR,1675986619
51,ostrovnoy,68.0531,39.5131,-0.91,83,100,9.78,RU,1675986575
52,morondava,-20.2833,44.2833,24.48,90,100,3.06,MG,1675987067
53,atuona,-9.8,-139.0333,26.21,77,15,9.4,PF,1675987067
54,lebu,-37.6167,-73.65,16.28,90,2,3.37,CL,1675986472
55,monrovia,6.3005,-10.7969,24.87,89,82,3.38,LR,1675987067
56,soc trang,9.6033,105.98,24.26,84,53,4.47,VN,1675987068
57,biloela,-24.4167,150.5,28.61,48,19,5.56,AU,1675987068
58,labuhan,-6.8844,112.2051,26.01,86,98,3.41,ID,1675987069
59,ribeira grande,38.5167,-28.7,13.76,66,65,2.24,PT,1675987069
60,herat,34.5,62.0,-0.77,70,11,5.3,AF,1675987069
61,sechura,-5.5569,-80.8222,25.77,71,40,6.04,PE,1675987070
62,longyearbyen,78.2186,15.6401,-9.09,73,20,1.54,SJ,1675986528
63,young,-32.6833,-57.6333,31.19,22,25,4.59,UY,1675987070
64,kaduqli,11.0167,29.7167,21.36,22,35,3.13,SD,1675987071
65,chambas,22.1928,-78.9136,23.26,80,3,6.65,CU,1675987071
66,kutum,14.2,24.6667,15.13,14,92,3.03,SD,1675987071
67,new norfolk,-42.7826,147.0587,17.73,80,99,0.46,AU,1675987072
68,tuatapere,-46.1333,167.6833,16.47,46,54,2.11,NZ,1675987072
69,basoko,1.2391,23.616,23.91,40,54,0.19,CD,1675987073
70,gland,46.4208,6.2701,1.2,83,26,0.22,CH,1675987073
71,kodiak,57.79,-152.4072,-1.27,37,0,4.63,US,1675986337
72,moose factory,51.2585,-80.6094,-9.0,79,100,4.63,CA,1675987073
73,chumikan,54.7183,135.315,-26.96,89,8,5.85,RU,1675987074
74,husavik,66.0449,-17.3389,-8.66,73,93,7.18,IS,1675986520
75,keti bandar,24.1447,67.4497,21.36,90,0,5.61,PK,1675986585
76,faanui,-16.4833,-151.75,27.48,71,3,5.62,PF,1675986506
77,nantucket,41.2835,-70.0995,7.03,84,100,6.17,US,1675986807
78,torbay,47.6666,-52.7314,-6.9,83,100,7.2,CA,1675987074
79,lagoa,39.05,-27.9833,13.51,60,99,6.05,PT,1675986588
80,avera,33.194,-82.5271,20.73,70,100,3.56,US,1675987075
81,vaini,-21.2,-175.2,28.09,83,75,3.09,TO,1675987075
82,belaya gora,68.5333,146.4167,-40.07,99,98,2.19,RU,1675987076
83,qaanaaq,77.484,-69.3632,-22.85,59,13,3.85,GL,1675987076
84,mount gambier,-37.8333,140.7667,24.91,36,0,4.09,AU,1675986597
85,port alfred,-33.5906,26.891,20.1,97,100,2.36,ZA,1675987077
86,kudahuvadhoo,2.6708,72.8944,26.8,75,71,5.49,MV,1675987077
87,teloes,41.3105,-8.111,9.58,69,20,2.52,PT,1675987077
88,ancud,-41.8697,-73.8203,14.86,98,70,3.48,CL,1675986470
89,nouadhibou,20.930999999999997,-17.0347,16.99,94,40,2.57,MR,1675987078
90,norman wells,65.282,-126.8329,-21.98,71,0,2.57,CA,1675987032
91,eyrarbakki,63.863,-21.1481,-1.97,88,100,8.1,IS,1675987079
92,san patricio,28.017,-97.5169,21.97,42,29,3.71,US,1675986503
93,bandarbeyla,9.4942,50.8122,24.04,73,70,5.91,SO,1675987079
94,tamandare,-8.7597,-35.1047,25.87,84,19,2.7,BR,1675987080
95,albany,42.6001,-73.9662,8.3,80,100,1.79,US,1675986757
96,flinders,-34.5833,150.8552,25.77,76,1,3.58,AU,1675987080
97,upernavik,72.7868,-56.1549,-32.96,97,85,2.48,GL,1675987081
98,dikson,73.5069,80.5464,-16.46,93,100,13.49,RU,1675987081
99,port elizabeth,-33.918,25.5701,19.5,94,0,1.03,ZA,1675986502
100,malmyzh,56.5205,50.6818,-7.75,96,100,4.48,RU,1675987082
101,cidreira,-30.1811,-50.2056,23.63,84,30,6.43,BR,1675986595
102,bud,39.446999999999996,-86.1758,5.81,83,100,10.13,US,1675987083
103,bambous virieux,-20.3428,57.7575,26.14,78,75,3.6,MU,1675986485
104,fortuna,40.5982,-124.1573,16.63,67,0,1.79,US,1675986539
105,te anau,-45.4167,167.7167,16.43,46,23,0.21,NZ,1675987083
106,ust-omchug,61.15,149.6333,-31.7,90,96,2.07,RU,1675986631
107,bure,10.7,37.0667,14.85,53,6,0.92,ET,1675987084
108,aruja,-23.3961,-46.3208,22.34,94,0,2.06,BR,1675987084
109,busselton,-33.65,115.3333,19.8,64,0,2.74,AU,1675987085
110,namtsy,62.7161,129.6658,-48.86,100,95,1.34,RU,1675987085
111,touros,-5.1989,-35.4608,26.95,79,82,6.18,BR,1675986216
112,road town,18.4167,-64.6167,26.02,78,40,6.17,VG,1675987086
113,lebork,54.5392,17.7501,1.41,86,93,6.22,PL,1675987086
114,bredasdorp,-34.5322,20.0403,20.41,86,29,4.69,ZA,1675987086
115,poya,-21.35,165.15,26.31,83,100,2.13,NC,1675987087
116,waipawa,-41.4122,175.5153,17.3,54,65,5.37,NZ,1675987087
117,qaqortoq,60.7167,-46.0333,-3.16,97,100,1.04,GL,1675987087
118,east london,-33.0153,27.9116,20.25,87,100,2.08,ZA,1675987088
119,leningradskiy,69.3833,178.4167,-33.16,98,99,2.95,RU,1675986555
120,yulara,-25.2406,130.9889,33.1,18,2,4.02,AU,1675986491
121,mazatlan,23.2167,-106.4167,21.06,72,98,3.58,MX,1675987000
122,exu,-7.5119,-39.7242,24.69,47,64,0.96,BR,1675987088
123,hithadhoo,-0.6,73.0833,27.07,75,100,3.82,MV,1675987089
124,santa cruz,-17.8,-63.1667,28.03,74,75,5.14,BO,1675987089
125,brzeg,50.8608,17.4674,-0.21,60,96,4.21,PL,1675987089
126,qui nhon,13.7667,109.2333,22.07,88,58,1.82,VN,1675987090
127,bilibino,68.0546,166.4372,-41.2,98,63,0.57,RU,1675986596
128,bataipora,-22.2953,-53.2711,24.42,80,80,1.45,BR,1675987090
129,airai,-8.9266,125.4092,18.48,85,100,1.37,TL,1675986560
130,geraldton,-28.7667,114.6,23.23,83,100,9.26,AU,1675987091
131,svetlogorsk,52.6333,29.7333,-7.51,90,46,3.47,BY,1675987091
132,raga,8.4596,25.678,19.92,16,9,1.44,SS,1675987091
133,nuevitas,21.5453,-77.2644,24.37,79,4,7.07,CU,1675987092
134,barrow,71.2906,-156.7887,-27.99,76,100,2.06,US,1675987092
135,marsh harbour,26.5412,-77.0636,23.18,65,12,7.17,BS,1675986597
136,alto araguaia,-17.3147,-53.2153,22.1,86,100,0.39,BR,1675987092
137,hilo,19.7297,-155.09,24.6,84,100,5.14,US,1675987093
138,cherskiy,68.75,161.3,-41.89,99,98,2.53,RU,1675986533
139,tateyama,34.9833,139.8667,3.94,74,100,4.96,JP,1675987093
140,elat,29.5581,34.9482,11.91,50,0,3.09,IL,1675987094
141,nador,35.174,-2.9287,13.14,71,100,7.72,MA,1675986853
142,raymondville,26.4815,-97.7831,22.06,41,47,4.32,US,1675987037
143,severo-kurilsk,50.6789,156.125,-5.2,60,96,13.14,RU,1675986616
144,ust-uda,54.1742,103.0304,-24.4,100,98,0.75,RU,1675987094
145,bell ville,-32.6259,-62.6887,30.58,24,0,3.06,AR,1675987095
146,gold coast,-28.0,153.4333,30.99,70,40,6.69,AU,1675987095
147,mar del plata,-38.0023,-57.5575,22.83,88,20,3.6,AR,1675987095
148,broken hill,-31.95,141.4333,33.35,12,1,10.35,AU,1675987079
149,narsaq,60.9167,-46.05,-3.12,97,100,1.24,GL,1675987096
150,victoria,22.2855,114.1577,21.64,90,60,1.79,HK,1675986517
151,muros,42.7762,-9.0603,7.13,77,0,3.19,ES,1675987096
152,miraflores,19.2167,-98.8083,21.36,47,68,3.7,MX,1675987097
153,tuktoyaktuk,69.4541,-133.0374,-24.0,77,100,6.17,CA,1675987097
154,yellowknife,62.456,-114.3525,-19.71,84,20,2.06,CA,1675986861
155,luena,-11.7833,19.9167,16.87,92,96,1.52,AO,1675987097
156,vila franca do campo,37.7167,-25.4333,13.23,79,44,3.93,PT,1675986521
157,lima,-12.0432,-77.0282,23.14,78,20,7.2,PE,1675986383
158,vicente guerrero,19.1194,-98.1708,18.66,39,66,5.25,MX,1675986984
159,georgetown,5.4112,100.3354,26.96,94,20,1.54,MY,1675986969
160,ambon,-3.6954,128.1814,27.08,89,40,2.06,ID,1675987098
161,tarboro,35.8968,-77.5358,20.21,72,40,2.57,US,1675987099
162,paramonga,-10.6667,-77.8333,22.96,84,51,3.48,PE,1675987099
163,egvekinot,66.3167,-179.1667,-30.73,89,79,2.81,RU,1675987099
164,ridgetown,42.4334,-81.8998,8.14,82,84,10.72,CA,1675987100
165,bundaberg,-24.85,152.35,30.12,63,30,2.68,AU,1675986587
166,guaruja,-23.9931,-46.2564,27.72,26,17,5.04,BR,1675987100
167,jagdalpur,19.0667,82.0333,13.31,33,14,0.46,IN,1675987101
168,los llanos de aridane,28.6585,-17.9182,13.4,81,100,2.06,ES,1675986561
169,provideniya,64.3833,-173.3,-19.94,71,100,5.0,RU,1675987101
170,rawson,-43.3002,-65.1023,27.26,40,0,3.17,AR,1675986292
171,isangel,-19.55,169.2667,25.78,92,100,6.47,VU,1675987101
172,saint-philippe,-21.3585,55.7679,24.77,81,78,5.11,RE,1675987102
173,pirgos,35.1167,25.7178,7.57,59,94,3.82,GR,1675987102
174,katsuura,35.1333,140.3,4.01,74,100,6.63,JP,1675986504
175,port hardy,50.6996,-127.4199,6.1,93,100,8.75,CA,1675986634
176,luanda,-8.8368,13.2343,26.0,78,10,3.09,AO,1675986595
177,jasper,37.2001,-94.3502,12.03,58,75,3.6,US,1675986971
178,kununurra,-15.7667,128.7333,27.99,78,99,1.54,AU,1675987103
179,ust-kuyga,70.0167,135.6,-48.97,100,87,2.35,RU,1675987103
180,conceicao das alagoas,-19.9147,-48.3883,22.88,83,60,1.35,BR,1675987104
181,abu dhabi,24.4667,54.3667,19.01,55,0,6.69,AE,1675987104
182,ascension,30.2169,-90.9001,18.38,61,4,2.47,US,1675987104
183,payo,-3.7508,103.6372,21.63,80,73,0.76,ID,1675987105
184,rio cuarto,-33.1307,-64.3499,29.87,42,0,4.12,AR,1675987105
185,saskylakh,71.9167,114.0833,-43.53,98,54,3.07,RU,1675987106
186,atasu,48.6814,71.6433,-23.04,98,99,0.78,KZ,1675987106
187,asosa,10.0667,34.5333,19.19,42,9,1.43,ET,1675987107
188,puerto escondido,15.85,-97.0667,27.05,62,1,2.28,MX,1675986816
189,alice springs,-23.7,133.8833,30.75,40,5,5.66,AU,1675986398
190,korla,41.7597,86.1469,-0.98,57,98,1.85,CN,1675986542
191,montes claros,-16.735,-43.8617,26.88,50,75,2.57,BR,1675987040
192,saint pete beach,27.7253,-82.7412,25.1,75,0,5.14,US,1675987107
193,kavaratti,10.5669,72.642,26.26,78,99,3.98,IN,1675986599
194,villamartin,36.8598,-5.6449,12.23,67,18,5.12,ES,1675987108
195,eureka,40.8021,-124.1637,16.78,49,15,3.13,US,1675987036
196,chara,56.9064,118.2631,-23.26,86,100,0.16,RU,1675987108
197,tasiilaq,65.6145,-37.6368,-3.91,59,100,5.08,GL,1675986608
198,gazanjyk,39.2446,55.5154,0.19,68,100,3.61,TM,1675987109
